n,d,seed,k,iters,build_ms,query_mean_us,query_std_us,nodes_mean,nodes_std
500,2,42,10,200,0.000382,8.91942,1.52446,500,0
1000,2,42,10,200,0.000305,12.0698,1.79665,1000,0
2000,2,42,10,200,0.000632,19.3058,2.05159,2000,0
5000,2,42,10,200,0.000956,34.4594,5.08979,5000,0
10000,2,42,10,200,0.000517,48.7596,4.34665,10000,0
50000,2,42,10,200,0.000782,224.284,16.0728,50000,0
100000,2,42,10,200,0.00166,359.389,63.6747,100000,0
200000,2,42,10,200,0.001367,631.359,67.828,200000,0
500,2,42,10,200,0.000376,7.66698,2.1006,500,0
1000,2,42,10,200,0.000402,10.9035,1.46748,1000,0
2000,2,42,10,200,0.000283,17.5294,1.44353,2000,0
5000,2,42,10,200,0.000296,40.3573,5.78459,5000,0
10000,2,42,10,200,0.00068,62.0914,5.19588,10000,0
50000,2,42,10,200,0.000584,243.689,28.9227,50000,0
100000,2,42,10,200,0.001146,396.305,36.5602,100000,0
200000,2,42,10,200,0.000991,643.989,83.3253,200000,0
200,2,42,10,1,0.000411,115.699,0,200,0
500,2,42,10,200,0.000637,8.67212,1.81457,500,0
1000,2,42,10,200,0.00029,9.57994,1.08304,1000,0
2000,2,42,10,200,0.000254,15.1035,1.74338,2000,0
5000,2,42,10,200,0.000297,30.4874,3.84571,5000,0
10000,2,42,10,200,0.000426,55.1522,3.73243,10000,0
50000,2,42,10,200,0.00034,220.414,11.1048,50000,0
100000,2,42,10,200,0.001077,429.195,29.6781,100000,0
200000,2,42,10,200,0.000808,650.282,80.9436,200000,0
