n,d,seed,k,iters,build_ms,query_mean_us,query_std_us,nodes_mean,nodes_std
500,2,42,10,200,0.000391,8.58357,1.44247,500,0
1000,2,42,10,200,0.000334,11.6663,1.85969,1000,0
2000,2,42,10,200,0.000304,15.2266,0.909798,2000,0
5000,2,42,10,200,0.000247,29.7776,1.83445,5000,0
10000,2,42,10,200,0.000263,49.0869,6.4289,10000,0
50000,2,42,10,200,0.000802,218.549,10.3077,50000,0
100000,2,42,10,200,0.000762,432.162,31.638,100000,0
200000,2,42,10,200,0.001087,645.405,81.9165,200000,0
500,2,42,10,200,0.00033,8.5045,1.27826,500,0
1000,2,42,10,200,0.000295,12.9256,1.87164,1000,0
2000,2,42,10,200,0.000328,19.8832,2.89002,2000,0
5000,2,42,10,200,0.000334,37.4061,3.66165,5000,0
10000,2,42,10,200,0.000488,60.3898,3.97081,10000,0
50000,2,42,10,200,0.000334,230.383,20.8141,50000,0
100000,2,42,10,200,0.000808,400.128,45.3276,100000,0
200000,2,42,10,200,0.001237,656.112,84.4458,200000,0
200,2,42,10,1,0.000342,106.049,0,200,0
500,2,42,10,200,0.000339,7.62464,1.44331,500,0
1000,2,42,10,200,0.00033,10.0512,0.946205,1000,0
2000,2,42,10,200,0.000291,15.2338,1.3049,2000,0
5000,2,42,10,200,0.000269,30.756,5.14875,5000,0
10000,2,42,10,200,0.00032,56.6391,3.36662,10000,0
50000,2,42,10,200,0.000363,222.629,12.8187,50000,0
100000,2,42,10,200,0.000791,393.697,35.1782,100000,0
200000,2,42,10,200,0.001207,655.293,71.4569,200000,0
