n,d,seed,k,iters,build_ms,query_mean_us,query_std_us,nodes_mean,nodes_std
200,2,42,10,200,0.000717,6.1186,1.54534,200,0
500,2,42,10,1,0.000698,17.109,0,500,0
500,2,42,10,200,0.000436,10.129,1.71177,500,0
1000,2,42,10,200,0.000656,15.2036,2.10206,1000,0
2000,2,42,10,200,0.000332,18.3735,1.68033,2000,0
5000,2,42,10,200,0.000479,42.0211,4.50109,5000,0
10000,2,42,10,200,0.000296,49.328,6.53692,10000,0
50000,2,42,10,200,0.001051,223.895,19.9189,50000,0
500,2,42,10,1,0.000566,15.208,0,500,0
500,2,42,10,200,0.000523,9.93216,1.31761,500,0
1000,2,42,10,200,0.000365,12.7854,1.46651,1000,0
2000,2,42,10,200,0.000337,23.0679,3.08164,2000,0
5000,2,42,10,200,0.000687,39.695,16.0886,5000,0
10000,2,42,10,200,0.00077,63.2014,11.0551,10000,0
50000,2,42,10,200,0.001077,222.786,19.1647,50000,0
100000,2,42,10,200,0.001409,375.326,78.6356,100000,0
200000,2,42,10,200,0.001587,661.297,67.8917,200000,0
50000,2,42,10,200,0.000607,220.434,8.55083,50000,0
50000,5,42,10,200,0.000939,273.79,52.8273,50000,0
50000,10,42,10,200,0.001157,298.459,23.9544,50000,0
50000,20,42,10,200,0.001058,504.019,81.5705,50000,0
50000,30,42,10,200,0.00115,714.641,86.132,50000,0
500,2,42,10,1,0.000607,14.355,0,500,0
500,2,42,10,200,0.000664,9.20754,1.8992,500,0
1000,2,42,10,200,0.000438,12.4335,1.42808,1000,0
2000,2,42,10,200,0.000364,18.1051,2.73193,2000,0
5000,2,42,10,200,0.000302,31.2804,4.60719,5000,0
10000,2,42,10,200,0.000518,48.6795,3.19363,10000,0
50000,2,42,10,200,0.000628,218.433,9.97309,50000,0
100000,2,42,10,200,0.001362,356.649,62.3725,100000,0
200000,2,42,10,200,0.001581,644.865,84.1533,200000,0
50000,2,42,10,200,0.001519,233.941,46.0457,50000,0
50000,5,42,10,200,0.000486,278.161,35.2407,50000,0
50000,10,42,10,200,0.00074,298.446,24.9468,50000,0
50000,20,42,10,200,0.001045,553.636,59.8268,50000,0
50000,30,42,10,200,0.001151,883.092,33.7554,50000,0
200,2,42,10,1,0.000651,120.72,0,200,0
500,2,42,10,1,0.00064,14.163,0,500,0
500,2,42,10,200,0.000482,9.29307,2.57402,500,0
1000,2,42,10,200,0.000291,11.7737,3.02741,1000,0
2000,2,42,10,200,0.000373,19.5558,2.30809,2000,0
5000,2,42,10,200,0.0003,30.5568,1.41304,5000,0
10000,2,42,10,200,0.000253,57.1951,7.17597,10000,0
50000,2,42,10,200,0.0006,239.677,17.5851,50000,0
100000,2,42,10,200,0.000669,436.554,29.0069,100000,0
200000,2,42,10,200,0.001244,641.813,83.4278,200000,0
50000,2,42,10,200,0.001343,219.89,12.0215,50000,0
50000,5,42,10,200,0.000491,269.016,48.4932,50000,0
50000,10,42,10,200,0.001234,298.342,24.8203,50000,0
50000,20,42,10,200,0.001066,549.068,52.0041,50000,0
50000,30,42,10,200,0.000809,874.798,35.0013,50000,0
