n,d,seed,k,iters,build_ms,query_mean_us,query_std_us,nodes_mean,nodes_std
500,2,42,10,200,0.341882,4.06237,1.16942,39.01,9.19347
1000,2,42,10,200,0.714691,3.73763,0.824909,40.795,9.66556
2000,2,42,10,200,1.20314,3.90035,0.828605,44.555,9.27938
5000,2,42,10,200,3.10524,4.41003,1.85037,48.035,11.9918
10000,2,42,10,200,7.31018,5.09131,1.24627,49.72,10.4442
50000,2,42,10,200,38.3199,6.93476,2.63931,53.955,11.25
100000,2,42,10,200,69.2541,6.89111,2.51034,56.7,16.6271
200000,2,42,10,200,126.254,7.14275,2.10995,55.635,14.8913
500,2,42,10,200,0.274069,3.27048,1.04147,39.01,9.19347
1000,2,42,10,200,0.70203,4.3238,1.03981,40.795,9.66556
2000,2,42,10,200,1.56326,4.50866,0.973539,44.555,9.27938
5000,2,42,10,200,3.73966,4.95699,1.12098,48.035,11.9918
10000,2,42,10,200,6.94053,4.14338,0.826877,49.72,10.4442
50000,2,42,10,200,33.8829,5.66765,1.79473,53.955,11.25
100000,2,42,10,200,62.4338,5.32721,1.83697,56.7,16.6271
200000,2,42,10,200,121.791,6.68716,2.04217,55.635,14.8913
200,2,42,10,1,0.633222,38.034,0,24,0
500,2,42,10,200,0.31963,4.2677,1.26863,39.01,9.19347
1000,2,42,10,200,0.810917,4.77337,1.17244,40.795,9.66556
2000,2,42,10,200,1.41092,5.19842,1.10703,44.555,9.27938
5000,2,42,10,200,3.61442,5.52582,6.1806,48.035,11.9918
10000,2,42,10,200,6.89855,4.66009,0.972984,49.72,10.4442
50000,2,42,10,200,40.2068,8.2542,3.34997,53.955,11.25
100000,2,42,10,200,69.3493,9.2449,3.51994,56.7,16.6271
200000,2,42,10,200,119.522,8.16117,2.5187,55.635,14.8913
