n,d,seed,k,iters,build_ms,query_mean_us,query_std_us,nodes_mean,nodes_std
500,2,42,10,200,0.328776,3.66789,1.30166,39.24,9.54423
1000,2,42,10,200,0.657498,4.67256,2.53025,41.01,8.52349
2000,2,42,10,200,1.16621,3.74661,0.786824,43.18,10.0915
5000,2,42,10,200,3.10176,4.32895,0.910931,47.145,11.3839
10000,2,42,10,200,6.71086,4.65866,3.8016,49.925,16.1836
50000,2,42,10,200,35.9382,6.2786,3.05147,59.575,32.2626
100000,2,42,10,200,71.4958,10.866,6.92793,64.06,39.1088
200000,2,42,10,200,124.036,8.2763,2.83645,54.67,16.0783
500,2,42,10,200,0.334019,3.67084,0.996461,39.24,9.54423
1000,2,42,10,200,0.625302,3.54919,0.912772,41.01,8.52349
2000,2,42,10,200,1.52253,4.73442,1.68694,43.18,10.0915
5000,2,42,10,200,3.18764,4.24156,1.16462,47.145,11.3839
10000,2,42,10,200,7.02576,5.01278,1.77567,49.925,16.1836
50000,2,42,10,200,33.9994,5.5965,2.31013,59.575,32.2626
100000,2,42,10,200,72.045,7.48009,4.02667,64.06,39.1088
200000,2,42,10,200,129.97,9.29834,3.01047,54.67,16.0783
200,2,42,10,1,0.600844,44.398,0,37,0
500,2,42,10,200,0.424794,5.13899,1.91149,39.24,9.54423
1000,2,42,10,200,0.726447,4.05647,0.994969,41.01,8.52349
2000,2,42,10,200,1.62808,5.05791,1.41085,43.18,10.0915
5000,2,42,10,200,3.16558,4.34778,2.07293,47.145,11.3839
10000,2,42,10,200,5.98184,3.99261,1.03188,49.925,16.1836
50000,2,42,10,200,35.5201,8.06451,4.46323,59.575,32.2626
100000,2,42,10,200,66.9647,7.54944,4.84052,64.06,39.1088
200000,2,42,10,200,124.615,9.89548,7.24493,76.315,71.6471
