n,d,seed,k,iters,build_ms,query_mean_us,query_std_us,nodes_mean,nodes_std
200,2,42,10,200,0.129781,3.05928,0.851429,32.77,8.06518
500,2,42,10,1,0.458055,13.646,0,52,0
500,2,42,10,1,0.377769,10.873,0,52,0
500,2,42,10,200,0.300408,3.27079,0.907999,38.335,8.80924
1000,2,42,10,200,0.610168,3.57638,0.810126,38.895,9.61478
2000,2,42,10,200,1.1725,3.56683,0.782468,41.8,10.2703
5000,2,42,10,200,3.13072,4.03928,0.870012,44.705,10.4493
10000,2,42,10,200,6.94555,4.66214,1.06662,47.45,10.8212
50000,2,42,10,200,34.036,6.01178,1.80409,51.225,10.6426
100000,2,42,10,200,72.7393,7.04756,2.32211,52.575,11.138
200000,2,42,10,200,130.243,7.15349,2.26878,53.305,11.4692
50000,2,42,10,200,33.8468,8.15699,2.47861,51.225,10.6426
50000,5,42,10,200,34.6705,34.8268,16.1669,478.79,205.421
50000,10,42,10,200,35.2254,683.487,268.607,17855.3,6407.63
50000,20,42,10,200,26.288,1712.11,125.409,49997.7,16.7771
50000,30,42,10,200,26.8118,2077.18,118.759,50000,0
500,2,42,10,1,0.422108,12.297,0,52,0
500,2,42,10,200,0.377125,3.66466,1.2131,38.335,8.80924
1000,2,42,10,200,0.870048,5.45858,1.29189,38.895,9.61478
2000,2,42,10,200,1.56771,4.49294,1.1458,41.8,10.2703
5000,2,42,10,200,3.85367,5.55758,1.3888,44.705,10.4493
10000,2,42,10,200,9.63823,6.13721,4.13586,47.45,10.8212
50000,2,42,10,200,34.381,6.82352,2.2585,51.225,10.6426
100000,2,42,10,200,62.6348,5.3288,1.8002,52.575,11.138
200000,2,42,10,200,120.776,6.73572,2.28978,53.305,11.4692
50000,2,42,10,200,37.1647,5.09581,1.42933,51.225,10.6426
50000,5,42,10,200,33.9583,27.4822,11.4658,478.79,205.421
50000,10,42,10,200,32.5029,583.989,203.129,17855.3,6407.63
50000,20,42,10,200,27.0077,1769.31,136.783,49997.7,16.7771
50000,30,42,10,200,26.3482,2053.1,135.18,50000,0
200,2,42,10,1,0.595368,37.334,0,25,0
500,2,42,10,1,0.375201,11.007,0,52,0
500,2,42,10,200,0.310616,3.29991,0.894901,38.335,8.80924
1000,2,42,10,200,0.699696,3.82027,0.906824,38.895,9.61478
2000,2,42,10,200,1.16145,3.57522,0.80743,41.8,10.2703
5000,2,42,10,200,3.22064,4.00498,0.982293,44.705,10.4493
10000,2,42,10,200,7.029,4.41062,1.22108,47.45,10.8212
50000,2,42,10,200,33.8536,6.34315,2.0649,51.225,10.6426
100000,2,42,10,200,71.935,6.90639,2.70989,52.575,11.138
200000,2,42,10,200,130.523,8.5539,2.88876,53.305,11.4692
50000,2,42,10,200,40.6287,8.30392,2.74928,51.225,10.6426
50000,5,42,10,200,34.6148,29.6526,12.988,478.79,205.421
50000,10,42,10,200,33.2771,597.509,211.262,17855.3,6407.63
50000,20,42,10,200,26.2633,1759.6,122.686,49997.7,16.7771
50000,30,42,10,200,26.4979,2053.1,105.044,50000,0
