n,d,seed,k,iters,build_ms,query_mean_us,query_std_us,nodes_mean,nodes_std
500,2,42,10,200,0.208336,3.74617,1.33679,26.91,7.41767
1000,2,42,10,200,0.330625,4.04413,1.15818,30.425,6.5882
2000,2,42,10,200,0.604589,4.27386,1.05322,32.49,7.42697
5000,2,42,10,200,1.54986,4.52041,1.27247,31.795,7.0152
10000,2,42,10,200,3.16391,5.67237,1.63602,33.14,7.6564
50000,2,42,10,200,17.1223,5.75647,2.02342,32.755,7.09753
100000,2,42,10,200,38.5656,7.33357,2.19287,32.465,7.33885
200000,2,42,10,200,69.9233,7.06085,2.0235,33.58,7.93118
500,2,42,10,200,0.23858,4.94585,1.71876,26.91,7.41767
1000,2,42,10,200,0.295956,3.99632,6.25106,30.425,6.5882
2000,2,42,10,200,0.574455,3.74282,0.92497,32.49,7.42697
5000,2,42,10,200,1.40734,4.07939,1.27534,31.795,7.0152
10000,2,42,10,200,3.31532,4.72788,1.54051,33.14,7.6564
50000,2,42,10,200,23.4624,6.49938,2.59371,32.755,7.09753
100000,2,42,10,200,35.0397,6.45402,1.83814,32.465,7.33885
200000,2,42,10,200,60.2053,7.00571,2.11973,33.58,7.93118
200,2,42,10,1,0.193541,61.334,0,22,0
500,2,42,10,200,0.207381,4.13989,1.43321,26.91,7.41767
1000,2,42,10,200,0.486465,5.94423,2.23036,30.425,6.5882
2000,2,42,10,200,1.05362,6.5552,1.86523,32.49,7.42697
5000,2,42,10,200,1.79431,4.98126,1.74548,31.795,7.0152
10000,2,42,10,200,2.95598,4.55465,1.55763,33.14,7.6564
50000,2,42,10,200,16.5307,7.32534,2.96514,32.755,7.09753
100000,2,42,10,200,43.3401,6.13436,1.74384,32.465,7.33885
200000,2,42,10,200,53.9074,6.07832,2.05553,33.58,7.93118
