n,d,seed,k,iters,build_ms,query_mean_us,query_std_us,nodes_mean,nodes_std
500,2,42,10,200,0.216452,3.95878,1.29552,27.87,5.76048
1000,2,42,10,200,0.420705,4.99865,1.6441,33.175,8.23738
2000,2,42,10,200,0.711359,4.27435,1.11373,28.275,6.51762
5000,2,42,10,200,1.82376,4.46642,1.30852,33.075,8.4071
10000,2,42,10,200,3.78037,4.56525,1.16905,30.66,6.30194
50000,2,42,10,200,17.1196,5.77447,1.77821,33.335,7.76549
100000,2,42,10,200,36.721,7.3626,2.52769,32.95,8.6728
200000,2,42,10,200,63.0965,6.11496,1.85335,32.705,7.68947
500,2,42,10,200,0.248538,5.16208,1.76154,27.87,5.76048
1000,2,42,10,200,0.424075,5.47435,1.44576,33.175,8.23738
2000,2,42,10,200,0.846157,5.29216,5.48362,28.275,6.51762
5000,2,42,10,200,2.02922,5.44432,1.58614,33.075,8.4071
10000,2,42,10,200,4.29192,6.63337,2.12959,30.66,6.30194
50000,2,42,10,200,24.2635,6.30534,2.08591,33.335,7.76549
100000,2,42,10,200,33.9829,6.34216,2.05736,32.95,8.6728
200000,2,42,10,200,56.5205,6.1828,1.82065,32.705,7.68947
200,2,42,10,1,0.14542,95.573,0,43,0
500,2,42,10,200,0.210456,4.21078,1.43972,27.87,5.76048
1000,2,42,10,200,0.362638,4.54989,1.27189,33.175,8.23738
2000,2,42,10,200,0.699887,4.18625,1.1415,28.275,6.51762
5000,2,42,10,200,1.64844,4.52816,1.21717,33.075,8.4071
10000,2,42,10,200,4.00068,4.62857,1.25669,30.66,6.30194
50000,2,42,10,200,16.28,5.84772,1.96883,33.335,7.76549
100000,2,42,10,200,37.6651,6.05296,2.04121,32.95,8.6728
200000,2,42,10,200,56.3663,6.04748,2.31098,35.79,9.48556
