n,d,seed,k,iters,build_ms,query_mean_us,query_std_us,nodes_mean,nodes_std
200,2,42,10,200,0.071551,3.01103,1.23312,25.62,6.40746
500,2,42,10,1,0.204967,17.696,0,37,0
500,2,42,10,1,0.214735,17.963,0,37,0
500,2,42,10,200,0.154376,3.42292,1.22916,30.64,8.21647
1000,2,42,10,200,0.265808,3.50108,1.10666,28.475,6.94042
2000,2,42,10,200,0.55056,3.8218,1.03163,30.89,7.31559
5000,2,42,10,200,1.32605,4.11358,2.65348,32,7.81793
10000,2,42,10,200,3.4162,4.57143,1.30341,30.49,7.49866
50000,2,42,10,200,15.8617,6.90097,2.12488,30.465,6.6324
100000,2,42,10,200,29.5183,6.56982,2.01517,34.715,8.19352
200000,2,42,10,200,64.5339,6.89987,2.03893,30.525,6.78744
500,2,42,10,1,0.170393,15.164,0,37,0
500,2,42,10,200,0.176679,3.80221,1.37662,30.64,8.21647
1000,2,42,10,200,0.336276,3.72959,1.10027,28.475,6.94042
2000,2,42,10,200,0.754583,5.20329,1.48557,30.89,7.31559
5000,2,42,10,200,1.78042,5.49361,1.56153,32,7.81793
10000,2,42,10,200,4.05093,5.01234,1.53494,30.49,7.49866
50000,2,42,10,200,19.3144,6.24189,2.00556,30.465,6.6324
100000,2,42,10,200,32.5532,6.76307,2.28424,34.715,8.19352
200000,2,42,10,200,56.4312,5.91908,1.75161,30.525,6.78744
200,2,42,10,1,0.139592,49.066,0,15,0
500,2,42,10,1,0.177463,15.253,0,37,0
500,2,42,10,200,0.209142,4.06428,1.61488,30.64,8.21647
1000,2,42,10,200,0.328999,4.115,1.30985,28.475,6.94042
2000,2,42,10,200,0.68999,4.7316,1.32253,30.89,7.31559
5000,2,42,10,200,1.54455,4.30433,1.37333,32,7.81793
10000,2,42,10,200,3.38951,5.0168,1.72001,30.49,7.49866
50000,2,42,10,200,16.1165,6.39205,2.23499,30.465,6.6324
100000,2,42,10,200,28.8635,5.59079,1.74375,34.715,8.19352
200000,2,42,10,200,52.6265,7.70978,2.23469,30.525,6.78744
